date,price
2018-06-01,1293.29
2018-05-31,1299.49
2018-05-30,1302.64
2018-05-29,1302.18
2018-05-28,1298.12
2018-05-27,1298.88
2018-05-25,1301.6
2018-05-24,1304.47
2018-05-23,1295.03
2018-05-22,1293.57
2018-05-21,1292.57
2018-05-18,1293.14
2018-05-17,1289.62
2018-05-16,1291.85
2018-05-15,1292.9
2018-05-14,1313.84
2018-05-11,1318.21
2018-05-10,1321.25
2018-05-09,1312.53
2018-05-08,1315.32
2018-05-07,1315.88
2018-05-04,1315.12
2018-05-03,1312.89
2018-05-02,1305.94
2018-05-01,1305.65
2018-04-30,1315.24
2018-04-27,1323.58
2018-04-26,1318.05
2018-04-25,1322.74
2018-04-24,1331.75
2018-04-23,1324.62
2018-04-20,1335.58
2018-04-19,1344.53
2018-04-18,1350.64
2018-04-17,1346.37
2018-04-16,1348.16
2018-04-13,1345.47
2018-04-12,1337.97
2018-04-11,1352.96
2018-04-10,1341.89
2018-04-09,1336.58
2018-04-06,1333.33
2018-04-05,1331.02
2018-04-04,1333.58
2018-04-03,1333.28
2018-04-02,1341.67
2018-03-29,1325.33
2018-03-28,1326.62
2018-03-27,1345.53
2018-03-26,1352.99
2018-03-23,1347.23
2018-03-22,1332.81
2018-03-21,1332.14
2018-03-20,1310.13
2018-03-19,1317.15
2018-03-16,1313.86
2018-03-15,1315.93
2018-03-14,1325.33
2018-03-13,1326.43
2018-03-12,1325.13
2018-03-09,1323.49
2018-03-08,1320.98
2018-03-07,1324.59
2018-03-06,1339.18
2018-03-05,1321.04
2018-03-02,1322.49
2018-03-01,1317.12
2018-02-28,1317.48
2018-02-27,1317.58
2018-02-26,1332.3
2018-02-23,1329.97
2018-02-22,1330.6
2018-02-21,1326.9
2018-02-20,1330.01
2018-02-19,1345.43
2018-02-16,1347.3
2018-02-15,1354.01
2018-02-14,1353.88
2018-02-13,1331.87
2018-02-12,1322.58
2018-02-09,1316.14
2018-02-08,1322.15
2018-02-07,1319.14
2018-02-06,1325.42
2018-02-05,1340.55
2018-02-02,1333.13
2018-02-01,1348.74
2018-01-31,1345.37
2018-01-30,1338.6
2018-01-29,1341.36
2018-01-26,1350.04
2018-01-25,1346.87
2018-01-24,1356.2
2018-01-23,1341.91
2018-01-22,1333.24
2018-01-19,1331.79
2018-01-18,1328.05
2018-01-17,1328.64
2018-01-16,1340.82
2018-01-15,1341.62
2018-01-12,1337.69
2018-01-11,1322.88
2018-01-10,1317.87
2018-01-09,1310.47
2018-01-08,1318.11
2018-01-05,1319.37
2018-01-04,1321.03
2018-01-03,1311.24
2018-01-02,1320.3
2018-01-01,1306.86
2017-12-29,1302.84
2017-12-28,1294.16
2017-12-27,1287.72
2017-12-26,1282.18
2017-12-22,1274.97
2017-12-21,1267.05
2017-12-20,1266.55
2017-12-19,1261.78
2017-12-18,1261.51
2017-12-15,1255.2
2017-12-14,1253.62
2017-12-13,1254.09
2017-12-12,1243.48
2017-12-11,1242.91
2017-12-08,1248.56
2017-12-07,1247.16
2017-12-06,1264.14
2017-12-05,1266.24
2017-12-04,1276.61
2017-12-01,1280.4
2017-11-30,1275.03
2017-11-29,1284.16
2017-11-28,1294.06
2017-11-27,1294.56
2017-11-24,1288.6
2017-11-23,1291.44
2017-11-22,1290.98
2017-11-21,1282.06
2017-11-20,1279.4
2017-11-17,1294.28
2017-11-16,1279.38
2017-11-15,1279.53
2017-11-14,1280.98
2017-11-13,1277.93
2017-11-10,1275.83
2017-11-09,1286.12
2017-11-08,1282.01
2017-11-07,1277.72
2017-11-06,1280.12
2017-11-03,1269.97
2017-11-02,1277.76
2017-11-01,1275.45
2017-10-31,1270.04
2017-10-30,1277.22
2017-10-27,1274.06
2017-10-26,1267.32
2017-10-25,1279.38
2017-10-24,1275.8
2017-10-23,1282.74
2017-10-20,1280.37
2017-10-19,1290.14
2017-10-18,1280.43
2017-10-17,1286.06
2017-10-16,1295.08
2017-10-13,1303.7
2017-10-12,1294.05
2017-10-11,1292.49
2017-10-10,1289.72
2017-10-09,1283.24
2017-10-06,1276.44
2017-10-05,1269.16
2017-10-04,1274.09
2017-10-03,1272.54
2017-10-02,1271.22
2017-09-29,1280.17
2017-09-28,1287.05
2017-09-27,1283.61
2017-09-26,1293.38
2017-09-25,1308.43
2017-09-22,1297.31
2017-09-21,1292.03
2017-09-20,1299.06
2017-09-19,1310.87
2017-09-18,1308.97
2017-09-15,1320.19
2017-09-14,1334.01
2017-09-13,1322.37
2017-09-12,1330.95
2017-09-11,1327.26
2017-09-08,1346.52
2017-09-07,1349.01
2017-09-06,1333.49
2017-09-05,1341.71
2017-09-04,1332.95
2017-09-01,1325.04
2017-08-31,1321.33
2017-08-30,1307.27
2017-08-29,1308.97
2017-08-28,1317.64
2017-08-25,1291.02
2017-08-24,1286.74
2017-08-23,1290.63
2017-08-22,1283.36
2017-08-21,1291.81
2017-08-18,1284.44
2017-08-17,1288.62
2017-08-16,1283.12
2017-08-15,1273.01
2017-08-14,1279.28
2017-08-11,1289.07
2017-08-10,1286.7
2017-08-09,1275.93
2017-08-08,1262.03
2017-08-07,1257.76
2017-08-04,1258.78
2017-08-03,1269.27
2017-08-02,1263.15
2017-08-01,1267.75
2017-07-31,1267.62
2017-07-28,1269.6
2017-07-27,1260.18
2017-07-26,1260.37
2017-07-25,1246.82
2017-07-24,1253.8
2017-07-21,1255.04
2017-07-20,1244.01
2017-07-19,1241.45
2017-07-18,1242.8
2017-07-17,1232.97
2017-07-14,1228.7
2017-07-13,1217.72
2017-07-12,1219.15
2017-07-11,1218.01
2017-07-10,1213.76
2017-07-07,1213.06
2017-07-06,1222.84
2017-07-05,1226.66
2017-07-04,1226.82
2017-07-03,1223.53
2017-06-30,1241.58
2017-06-29,1246.56
2017-06-28,1249.8
2017-06-27,1249.25
2017-06-26,1243.19
2017-06-23,1256.82
2017-06-22,1251.54
2017-06-21,1249.03
2017-06-20,1244.94
2017-06-19,1243.86
2017-06-16,1253.89
2017-06-15,1253.97
2017-06-14,1263.51
2017-06-13,1267.43
2017-06-12,1265.32
2017-06-09,1266.68
2017-06-08,1279.97
2017-06-07,1284.74
2017-06-06,1293.82
