dates,prices,positions,is_trade,history_balance
2011-05-03,1536.83,0.0,0.0,100000.0
2011-05-04,1515.95,0.0,0.0,100000.0
2011-05-05,1473.65,-54.0,1.0,100000.0
2011-05-06,1495.25,-54.0,0.0,98833.6
2011-05-09,1513.05,-54.0,0.0,97872.40000000001
2011-05-10,1515.72,-54.0,0.0,97728.22
2011-05-11,1500.25,-54.0,0.0,98563.6
2011-05-12,1502.85,-54.0,0.0,98423.20000000001
2011-05-13,1494.55,-54.0,0.0,98871.40000000001
2011-05-16,1489.7,-54.0,0.0,99133.3
2011-05-17,1486.85,-54.0,0.0,99287.20000000001
2011-05-18,1497.0,-54.0,0.0,98739.1
2011-05-19,1493.6,-54.0,0.0,98922.70000000001
2011-05-20,1513.55,-54.0,0.0,97845.40000000001
2011-05-23,1517.2,-54.0,0.0,97648.3
2011-05-24,1526.4,-54.0,0.0,97151.5
2011-05-25,1525.95,-54.0,0.0,97175.8
2011-05-26,1519.05,52.0,1.0,97548.40000000001
2011-05-27,1536.65,52.0,0.0,98463.60000000002
2011-05-30,1538.45,52.0,0.0,98557.20000000003
2011-05-31,1535.35,52.0,0.0,98396.00000000001
2011-06-01,1540.7,52.0,0.0,98674.20000000003
2011-06-02,1533.9,52.0,0.0,98320.60000000002
2011-06-03,1542.5,52.0,0.0,98767.80000000002
2011-06-06,1544.0,52.0,0.0,98845.80000000002
2011-06-07,1544.25,52.0,0.0,98858.80000000002
2011-06-08,1537.55,52.0,0.0,98510.40000000001
2011-06-09,1544.35,52.0,0.0,98864.00000000001
2011-06-10,1531.9,52.0,0.0,98216.60000000002
2011-06-13,1515.23,52.0,0.0,97349.76000000002
2011-06-14,1524.1,52.0,0.0,97811.00000000001
2011-06-15,1530.7,52.0,0.0,98154.20000000003
2011-06-16,1528.85,52.0,0.0,98058.00000000001
2011-06-17,1539.5,52.0,0.0,98611.80000000002
2011-06-20,1540.45,52.0,0.0,98661.20000000003
2011-06-21,1546.2,52.0,0.0,98960.20000000003
2011-06-22,1547.8,52.0,0.0,99043.40000000001
2011-06-23,1520.85,52.0,0.0,97642.00000000001
2011-06-24,1502.15,52.0,0.0,96669.60000000002
2011-06-27,1497.0,-53.0,1.0,96401.80000000002
2011-06-28,1501.0,-53.0,0.0,96189.80000000002
2011-06-29,1512.05,-53.0,0.0,95604.15000000002
2011-06-30,1500.1,-53.0,0.0,96237.50000000003
2011-07-01,1486.5,-53.0,0.0,96958.30000000002
2011-07-04,1495.95,-53.0,0.0,96457.45000000001
2011-07-05,1516.3,-53.0,0.0,95378.90000000002
2011-07-06,1529.5,-53.0,0.0,94679.30000000002
2011-07-07,1532.55,-53.0,0.0,94517.65000000002
2011-07-08,1544.25,-53.0,0.0,93897.55000000002
2011-07-11,1554.1,51.0,1.0,93375.50000000003
2011-07-12,1567.2,51.0,0.0,94043.60000000003
2011-07-13,1582.25,51.0,0.0,94811.15000000004
2011-07-14,1587.25,51.0,0.0,95066.15000000004
2011-07-15,1594.1,51.0,0.0,95415.50000000003
2011-07-18,1605.4,51.0,0.0,95991.80000000005
2011-07-19,1588.35,51.0,0.0,95122.25000000003
2011-07-20,1602.1,51.0,0.0,95823.50000000003
2011-07-21,1589.9,51.0,0.0,95201.30000000005
2011-07-22,1599.25,51.0,0.0,95678.15000000004
2011-07-25,1614.55,51.0,0.0,96458.45000000004
2011-07-26,1619.3,51.0,0.0,96700.70000000004
2011-07-27,1613.5,49.0,1.0,96404.90000000004
2011-07-28,1616.85,49.0,0.0,96569.05000000003
2011-07-29,1626.64,49.0,0.0,97048.76000000004
2011-08-01,1620.1,49.0,0.0,96728.30000000003
2011-08-02,1659.75,49.0,0.0,98671.15000000004
2011-08-03,1661.2,49.0,0.0,98742.20000000004
2011-08-04,1648.4,49.0,0.0,98115.00000000004
2011-08-05,1665.0,49.0,0.0,98928.40000000004
2011-08-08,1717.35,-46.0,1.0,101493.55000000003
2011-08-09,1743.9,-46.0,0.0,100272.25000000001
2011-08-10,1795.0,-44.0,1.0,97921.65000000002
2011-08-11,1767.9,-44.0,0.0,99114.05000000002
2011-08-12,1746.6,-44.0,0.0,100051.25000000003
2011-08-15,1765.5,-44.0,0.0,99219.65000000002
2011-08-16,1786.3,-44.0,0.0,98304.45000000003
2011-08-17,1788.65,-44.0,0.0,98201.05000000002
2011-08-18,1824.35,-44.0,0.0,96630.25000000003
2011-08-19,1852.45,-43.0,1.0,95393.85
2011-08-22,1898.1,-43.0,0.0,93430.90000000001
2011-08-23,1830.15,-43.0,0.0,96352.75000000001
2011-08-24,1751.05,-45.0,1.0,99754.05000000002
2011-08-25,1771.6,-45.0,0.0,98829.30000000002
2011-08-26,1828.55,-43.0,1.0,96266.55000000002
2011-08-29,1788.45,-43.0,0.0,97990.85
2011-08-30,1835.3,-43.0,0.0,95976.30000000002
2011-08-31,1823.8,-43.0,0.0,96470.80000000002
2011-09-01,1825.05,-43.0,0.0,96417.05000000002
2011-09-02,1884.2,-42.0,1.0,93873.59999999999
2011-09-05,1900.49,-42.0,0.0,93189.42
2011-09-06,1873.72,-42.0,0.0,94313.76
2011-09-07,1816.96,-44.0,1.0,96697.67999999998
2011-09-08,1868.76,-44.0,0.0,94418.47999999998
2011-09-09,1857.81,-44.0,0.0,94900.27999999998
2011-09-12,1813.75,-44.0,0.0,96838.91999999998
2011-09-13,1833.8,-44.0,0.0,95956.71999999999
2011-09-14,1819.7,-44.0,0.0,96577.11999999998
2011-09-15,1789.14,-44.0,0.0,97921.75999999998
2011-09-16,1811.95,-44.0,0.0,96918.11999999998
2011-09-19,1778.75,-44.0,0.0,98378.91999999998
2011-09-20,1803.75,-44.0,0.0,97278.91999999998
2011-09-21,1781.79,-44.0,0.0,98245.15999999999
2011-09-22,1735.83,-46.0,1.0,100267.4
2011-09-23,1656.59,-48.0,1.0,103912.43999999999
2011-09-26,1627.35,-48.0,0.0,105315.95999999999
2011-09-27,1649.95,-48.0,0.0,104231.15999999997
2011-09-28,1608.8,-48.0,0.0,106206.35999999999
2011-09-29,1614.55,-48.0,0.0,105930.35999999999
2011-09-30,1623.75,-48.0,0.0,105488.75999999998
2011-10-03,1660.95,-48.0,0.0,103703.15999999997
2011-10-04,1624.3,-48.0,0.0,105462.35999999999
2011-10-05,1640.9,-48.0,0.0,104665.55999999997
2011-10-06,1650.63,-48.0,0.0,104198.51999999997
2011-10-07,1639.45,-48.0,0.0,104735.15999999997
2011-10-10,1675.44,-48.0,0.0,103007.63999999998
2011-10-11,1663.1,-48.0,0.0,103599.95999999999
2011-10-12,1677.2,47.0,1.0,102923.15999999997
2011-10-13,1666.7,47.0,0.0,102429.65999999997
2011-10-14,1679.95,47.0,0.0,103052.40999999997
2011-10-17,1670.65,47.0,0.0,102615.30999999997
2011-10-18,1655.15,47.0,0.0,101886.80999999997
2011-10-19,1641.8,47.0,0.0,101259.35999999996
2011-10-20,1619.1,-49.0,1.0,100192.45999999996
2011-10-21,1641.02,-49.0,0.0,99118.37999999996
2011-10-24,1652.68,-49.0,0.0,98547.03999999995
2011-10-25,1705.35,-46.0,1.0,95966.20999999995
2011-10-26,1725.75,-46.0,0.0,95027.80999999994
2011-10-27,1744.45,-46.0,0.0,94167.60999999994
2011-10-28,1742.95,-46.0,0.0,94236.60999999994
2011-10-31,1715.25,-46.0,0.0,95510.80999999994
2011-11-01,1720.3,-46.0,0.0,95278.50999999994
2011-11-02,1737.0,-46.0,0.0,94510.30999999994
2011-11-03,1763.15,-46.0,0.0,93307.40999999993
2011-11-04,1754.15,-46.0,0.0,93721.40999999993
2011-11-07,1795.86,-46.0,0.0,91802.74999999994
2011-11-08,1785.0,-46.0,0.0,92302.30999999994
2011-11-09,1772.24,45.0,1.0,92889.26999999995
2011-11-10,1759.2,45.0,0.0,92302.46999999994
2011-11-11,1788.99,45.0,0.0,93643.01999999995
2011-11-14,1781.0,45.0,0.0,93283.46999999994
2011-11-15,1781.4,45.0,0.0,93301.46999999994
2011-11-16,1762.35,45.0,0.0,92444.21999999994
2011-11-17,1719.1,-46.0,1.0,90497.96999999996
2011-11-18,1723.05,-46.0,0.0,90316.26999999995
2011-11-21,1680.85,-46.0,0.0,92257.46999999996
2011-11-22,1699.2,-46.0,0.0,91413.36999999995
2011-11-23,1693.3,-46.0,0.0,91684.76999999995
2011-11-24,1694.75,-46.0,0.0,91618.06999999995
2011-11-25,1680.13,-46.0,0.0,92290.58999999994
2011-11-28,1712.3,-46.0,0.0,90810.76999999995
2011-11-29,1716.75,-46.0,0.0,90606.06999999995
2011-11-30,1745.7,-46.0,0.0,89274.36999999995
2011-12-01,1745.25,-46.0,0.0,89295.06999999995
2011-12-02,1745.25,45.0,1.0,89295.06999999995
2011-12-05,1721.64,45.0,0.0,88232.61999999995
2011-12-06,1728.2,45.0,0.0,88527.81999999995
2011-12-07,1742.1,45.0,0.0,89153.31999999995
2011-12-08,1708.8,45.0,0.0,87654.81999999995
2011-12-09,1711.1,45.0,0.0,87758.31999999995
2011-12-12,1666.3,-48.0,1.0,85742.31999999995
2011-12-13,1632.1,-48.0,0.0,87383.91999999995
2011-12-14,1575.1,-50.0,1.0,90119.91999999995
2011-12-15,1570.7,-50.0,0.0,90339.91999999995
2011-12-16,1597.95,-50.0,0.0,88977.41999999995
2011-12-19,1594.1,-50.0,0.0,89169.91999999995
2011-12-20,1615.65,-50.0,0.0,88092.41999999995
2011-12-21,1615.15,-50.0,0.0,88117.41999999995
2011-12-22,1604.7,-50.0,0.0,88639.91999999995
2011-12-23,1606.6,-50.0,0.0,88544.91999999995
2011-12-26,1605.82,-50.0,0.0,88583.91999999995
2011-12-27,1592.9,-50.0,0.0,89229.91999999995
2011-12-28,1553.0,-51.0,1.0,91224.91999999995
2011-12-29,1546.7,-51.0,0.0,91546.21999999996
2011-12-30,1564.3,-51.0,0.0,90648.61999999995
2012-01-02,1566.27,-51.0,0.0,90548.14999999995
2012-01-03,1604.14,-51.0,0.0,88616.77999999996
2012-01-04,1612.4,-51.0,0.0,88195.51999999995
2012-01-05,1623.0,49.0,1.0,87654.91999999995
2012-01-06,1616.85,49.0,0.0,87353.56999999995
2012-01-09,1611.5,49.0,0.0,87091.41999999995
2012-01-10,1631.56,49.0,0.0,88074.35999999996
2012-01-11,1641.8,49.0,0.0,88576.11999999995
2012-01-12,1650.1,49.0,0.0,88982.81999999995
2012-01-13,1639.35,49.0,0.0,88456.06999999995
2012-01-16,1643.4,49.0,0.0,88654.51999999996
2012-01-17,1651.74,49.0,0.0,89063.17999999995
2012-01-18,1661.25,49.0,0.0,89529.16999999995
2012-01-19,1657.6,49.0,0.0,89350.31999999995
2012-01-20,1666.9,49.0,0.0,89806.01999999996
2012-01-23,1677.0,49.0,0.0,90300.91999999995
2012-01-24,1665.2,48.0,1.0,89722.71999999996
2012-01-25,1711.9,48.0,0.0,91964.31999999996
2012-01-26,1721.5,-46.0,1.0,92425.11999999994
2012-01-27,1738.89,-46.0,0.0,91625.17999999993
2012-01-30,1730.05,-46.0,0.0,92031.81999999993
2012-01-31,1739.43,-46.0,0.0,91600.33999999994
2012-02-01,1743.6,-46.0,0.0,91408.51999999995
2012-02-02,1759.99,-46.0,0.0,90654.57999999994
2012-02-03,1725.3,-46.0,0.0,92250.31999999993
2012-02-06,1720.3,-46.0,0.0,92480.31999999993
2012-02-07,1746.5,-46.0,0.0,91275.11999999994
2012-02-08,1733.55,-46.0,0.0,91870.81999999993
2012-02-09,1729.6,-46.0,0.0,92052.51999999995
2012-02-10,1719.85,-46.0,0.0,92501.01999999995
2012-02-13,1722.5,-46.0,0.0,92379.11999999994
2012-02-14,1720.1,-46.0,0.0,92489.51999999995
2012-02-15,1729.01,-46.0,0.0,92079.65999999993
2012-02-16,1728.7,-46.0,0.0,92093.91999999994
2012-02-17,1722.45,-46.0,0.0,92381.41999999994
2012-02-20,1734.0,-46.0,0.0,91850.11999999994
2012-02-21,1759.15,-46.0,0.0,90693.21999999993
2012-02-22,1777.55,-46.0,0.0,89846.81999999993
2012-02-23,1780.1,-46.0,0.0,89729.51999999995
2012-02-24,1773.49,45.0,1.0,90033.57999999994
2012-02-27,1766.3,45.0,0.0,89710.02999999994
2012-02-28,1785.85,45.0,0.0,90589.77999999994
2012-02-29,1695.2,-47.0,1.0,86510.52999999993
2012-03-01,1716.55,-47.0,0.0,85507.07999999994
2012-03-02,1712.3,-47.0,0.0,85706.82999999994
