0,1,2
2017-04-13,102034.88000000015,0.01
2017-03-30,101711.94000000022,0.01
2017-03-16,98814.57000000018,0.01
2017-03-02,96579.91000000015,0.01
2017-02-16,97453.29000000011,0.01
2017-02-02,97749.44000000018,0.01
2017-01-19,97143.63000000014,0.01
2017-01-05,95082.2800000001,0.01
2016-12-22,90894.10000000012,0.01
2016-12-08,91164.84000000011,0.01
2016-11-24,93464.86000000004,0.01
2016-11-10,97362.99000000009,0.01
2016-10-27,103232.20000000006,0.01
2016-10-13,99690.49000000005,0.01
2016-09-29,97955.01000000002,0.01
2016-09-15,102623.59000000003,0.01
2016-09-01,102178.72000000002,0.01
2016-08-18,101996.69,0.01
2016-08-04,102414.99000000008,0.01
2016-07-21,98855.48000000005,0.01
2016-07-07,100741.33000000006,0.01
2016-06-23,101284.03000000004,0.01
2016-06-09,100477.58999999997,0.01
2016-05-26,96780.28999999996,0.01
2016-05-12,101136.26999999995,0.01
2016-04-28,101887.93999999996,0.01
2016-04-14,96902.73999999995,0.01
2016-03-31,94471.11999999992,0.01
2016-03-17,98867.13999999994,0.01
2016-03-03,96167.60999999997,0.01
2016-02-18,92191.83999999992,0.01
2016-02-04,91828.06999999993,0.01
2016-01-21,90272.94999999995,0.01
2016-01-07,86492.50999999998,0.01
2015-12-24,85076.60999999999,0.01
2015-12-10,86693.21999999997,0.01
2015-11-26,86749.05000000003,0.01
2015-11-12,90303.19000000003,0.01
2015-10-29,97073.39000000001,0.01
2015-10-15,96688.85000000003,0.01
2015-10-01,93488.8900000001,0.01
2015-09-17,86717.79000000004,0.01
2015-09-03,88048.60000000003,0.01
2015-08-20,91221.13000000005,0.01
2015-08-06,84624.37000000005,0.01
2015-07-23,83231.48000000003,0.01
2015-07-09,88538.81000000007,0.01
2015-06-25,87309.02000000002,0.01
2015-06-11,89118.16,0.01
2015-05-28,89921.18000000005,0.01
2015-05-14,89182.80000000003,0.01
2015-04-30,94190.77000000008,0.01
2015-04-16,94077.61000000004,0.01
2015-04-02,97042.50000000007,0.01
2015-03-19,93288.27000000005,0.01
2015-03-05,92092.71000000011,0.01
2015-02-19,94477.70000000003,0.01
2015-02-05,97865.90000000005,0.01
2015-01-22,98407.32000000011,0.01
2015-01-08,96171.33000000009,0.01
2014-12-24,96378.67000000006,0.01
2014-12-10,100797.39000000006,0.01
2014-11-26,101909.57,0.01
2014-11-12,103781.51999999999,0.01
2014-10-29,106142.66000000006,0.01
2014-10-15,108136.01000000004,0.01
2014-10-01,105602.27000000006,0.01
2014-09-17,105730.24000000002,0.01
2014-09-03,103786.31,0.01
2014-08-20,103169.23000000001,0.01
2014-08-06,109310.82,0.01
2014-07-23,109677.43000000001,0.01
2014-07-09,108592.38000000005,0.01
2014-06-25,110260.29000000005,0.01
2014-06-11,110228.91000000006,0.01
2014-05-28,113333.61000000006,0.01
2014-05-14,111784.00000000013,0.01
2014-04-30,111146.21000000004,0.01
2014-04-16,109344.23000000001,0.01
2014-04-02,110404.51,0.01
2014-03-19,108991.87000000001,0.01
2014-03-05,112177.59000000001,0.01
2014-02-19,111487.89,0.01
2014-02-05,107574.07999999997,0.01
2014-01-22,111122.16999999993,0.01
2014-01-08,107879.09999999996,0.01
2013-12-25,103696.91999999995,0.01
2013-12-11,101820.14999999994,0.01
2013-11-27,102208.44999999992,0.01
2013-11-13,108776.54999999993,0.01
2013-10-30,114174.99999999993,0.01
2013-10-16,110331.13999999998,0.01
2013-10-02,111618.63999999996,0.01
2013-09-18,115113.92999999996,0.01
2013-09-04,113333.43999999994,0.01
2013-08-21,114666.59,0.01
2013-08-07,111213.9,0.01
2013-07-24,109322.29999999997,0.01
2013-07-10,105887.3999999999,0.01
2013-06-26,98570.59999999995,0.01
2013-06-12,109213.79999999996,0.01
2013-05-29,110573.2699999999,0.01
2013-05-15,106757.56999999989,0.01
2013-05-01,111976.36999999988,0.01
2013-04-17,106297.21999999988,0.01
2013-04-03,115914.66999999984,0.01
2013-03-19,114817.46999999984,0.01
2013-03-05,113830.21999999983,0.01
2013-02-19,111699.54999999989,0.01
2013-02-05,117380.70999999989,0.01
2013-01-22,113619.83999999991,0.01
2013-01-08,113161.43999999992,0.01
2012-12-25,113960.03999999992,0.01
2012-12-11,117823.91999999993,0.01
2012-11-27,121017.89,0.01
2012-11-13,122149.04000000001,0.01
2012-10-30,121453.04000000002,0.01
2012-10-16,119890.75999999997,0.01
2012-10-02,123040.19999999994,0.01
2012-09-18,120977.51999999996,0.01
2012-09-04,115622.3499999999,0.01
2012-08-21,116411.54999999992,0.01
2012-08-07,112577.00999999991,0.01
2012-07-24,111647.01999999986,0.01
2012-07-10,104926.87999999982,0.01
2012-06-26,105376.66999999985,0.01
2012-06-12,113407.17999999989,0.01
2012-05-29,110402.7299999999,0.01
2012-05-15,113778.52999999993,0.01
2012-05-01,115195.40999999984,0.01
2012-04-17,110477.47999999991,0.01
2012-04-03,108410.20999999992,0.01
2012-03-20,107942.34999999992,0.01
2012-03-06,106966.61999999988,0.01
2012-02-21,116366.86999999991,0.01
2012-02-07,102966.2699999999,0.01
2012-01-24,101914.16999999993,0.01
2012-01-10,100550.16999999993,0.01
2011-12-27,93983.28999999994,0.01
2011-12-13,92002.00999999991,0.01
2011-11-29,101393.23999999992,0.01
2011-11-15,104124.03999999992,0.01
2011-11-01,103630.34,0.01
2011-10-18,94309.95999999996,0.01
2011-10-04,93591.28,0.01
2011-09-20,100878.73,0.01
2011-09-06,103160.62999999999,0.01
2011-08-23,98849.90999999996,0.01
2011-08-09,98910.81,0.01
2011-07-26,93211.45999999996,0.01
2011-07-12,92840.46,0.01
2011-06-28,91047.46,0.01
2011-06-14,92047.91000000003,0.01
2011-05-31,94759.70000000007,0.01
2011-05-17,94182.39000000001,0.01
2011-05-03,94440.84000000003,0.01
2017-04-13,103127.07999999999,0.011
2017-03-30,102804.14000000006,0.011
2017-03-16,99906.77000000002,0.011
2017-03-02,97672.10999999999,0.011
2017-02-16,99005.76999999997,0.011
2017-02-02,98812.46999999997,0.011
2017-01-19,97090.60999999997,0.011
2017-01-05,96162.75999999997,0.011
2016-12-22,91974.57999999999,0.011
2016-12-08,91305.53999999998,0.011
2016-11-24,94519.94999999997,0.011
2016-11-10,98418.08,0.011
2016-10-27,104287.28999999996,0.011
2016-10-13,106388.82999999996,0.011
2016-09-29,104820.29999999994,0.011
2016-09-15,109488.87999999995,0.011
2016-09-01,110385.58999999995,0.011
2016-08-18,108779.79999999999,0.011
2016-08-04,110053.70000000001,0.011
2016-07-21,106484.27999999998,0.011
2016-07-07,108370.12999999999,0.011
2016-06-23,104824.77000000003,0.011
2016-06-09,102408.04999999996,0.011
2016-05-26,96624.01999999995,0.011
2016-05-12,100979.99999999993,0.011
2016-04-28,101740.02999999996,0.011
2016-04-14,96773.29,0.011
2016-03-31,96165.71,0.011
2016-03-17,100561.73000000003,0.011
2016-03-03,97862.20000000006,0.011
2016-02-18,93886.43000000001,0.011
2016-02-04,93522.66000000002,0.011
2016-01-21,91967.54000000004,0.011
2016-01-07,88188.8200000001,0.011
2015-12-24,86788.4500000001,0.011
2015-12-10,88405.06000000008,0.011
2015-11-26,88447.05000000013,0.011
2015-11-12,92001.19000000015,0.011
2015-10-29,97640.89000000013,0.011
2015-10-15,98142.90000000014,0.011
2015-10-01,95205.71000000022,0.011
2015-09-17,88434.61000000016,0.011
2015-09-03,83977.46000000014,0.011
2015-08-20,87119.75000000016,0.011
2015-08-06,80522.99000000017,0.011
2015-07-23,79156.52000000012,0.011
2015-07-09,84463.85000000017,0.011
2015-06-25,83234.06000000011,0.011
2015-06-11,85038.67000000013,0.011
2015-05-28,85826.75000000012,0.011
2015-05-14,89168.68000000005,0.011
2015-04-30,94184.40000000008,0.011
2015-04-16,94071.24000000005,0.011
2015-04-02,97036.13000000008,0.011
2015-03-19,93267.70000000004,0.011
2015-03-05,93813.34000000005,0.011
2015-02-19,96115.83000000003,0.011
2015-02-05,99586.53000000006,0.011
2015-01-22,100127.95000000011,0.011
